y/delta, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
1.991869919e-01,3.401497205e+00,1.160796115e+00,1.721855841e+00,-8.811862281e-01,4.942709407e-03,9.324906181e-04
2.032520325e-01,3.378316396e+00,1.159819944e+00,1.716595120e+00,-8.801213275e-01,4.597056195e-03,1.173259776e-03
2.073170732e-01,3.354635367e+00,1.158756740e+00,1.711498558e+00,-8.792197756e-01,4.286590614e-03,1.383116505e-03
2.113821138e-01,3.330563425e+00,1.157558709e+00,1.706547096e+00,-8.784165992e-01,4.038242785e-03,1.564666451e-03
2.154471545e-01,3.306209876e+00,1.156178066e+00,1.701721677e+00,-8.776468250e-01,3.826680047e-03,1.739992722e-03
2.195121951e-01,3.281684026e+00,1.154579076e+00,1.697003243e+00,-8.768454797e-01,3.625569446e-03,1.934098173e-03
2.235772358e-01,3.257095183e+00,1.152762286e+00,1.692372735e+00,-8.759475899e-01,3.496464454e-03,2.149397431e-03
2.276422764e-01,3.232552654e+00,1.150735042e+00,1.687811096e+00,-8.748881825e-01,3.512453830e-03,2.375131877e-03
2.317073171e-01,3.208165744e+00,1.148504691e+00,1.683299268e+00,-8.736022840e-01,3.706117383e-03,2.583713705e-03
2.357723577e-01,3.184043761e+00,1.146078580e+00,1.678818193e+00,-8.720249213e-01,4.084131123e-03,2.753725921e-03
2.398373984e-01,3.160296011e+00,1.143464056e+00,1.674348813e+00,-8.700913059e-01,4.618890269e-03,2.883864097e-03
2.439024390e-01,3.137031801e+00,1.140668464e+00,1.669872070e+00,-8.677651978e-01,5.258791474e-03,2.984598893e-03
2.479674797e-01,3.114360438e+00,1.137699152e+00,1.665368906e+00,-8.650694733e-01,5.922132396e-03,3.080649723e-03
2.520325203e-01,3.092383494e+00,1.134563466e+00,1.660820264e+00,-8.620343428e-01,6.541759210e-03,3.187514934e-03
2.560975610e-01,3.071094847e+00,1.131268753e+00,1.656207085e+00,-8.586900170e-01,7.076184085e-03,3.304900101e-03
2.601626016e-01,3.050409401e+00,1.127822360e+00,1.651510311e+00,-8.550667064e-01,7.513126287e-03,3.422344483e-03
2.642276423e-01,3.030240244e+00,1.124231633e+00,1.646710885e+00,-8.511946214e-01,7.873352558e-03,3.518493552e-03
2.682926829e-01,3.010500464e+00,1.120503919e+00,1.641789749e+00,-8.471039727e-01,8.180500230e-03,3.580242780e-03
2.723577236e-01,2.991103147e+00,1.116646565e+00,1.636727844e+00,-8.428249708e-01,8.455107633e-03,3.607418910e-03
2.764227642e-01,2.971961380e+00,1.112666917e+00,1.631506113e+00,-8.383878261e-01,8.707305734e-03,3.603913461e-03
2.804878049e-01,2.952988252e+00,1.108572322e+00,1.626105499e+00,-8.338227493e-01,8.932472205e-03,3.575803448e-03
2.845528455e-01,2.934096849e+00,1.104370126e+00,1.620506942e+00,-8.291599509e-01,9.128332371e-03,3.531494486e-03
2.886178862e-01,2.915200259e+00,1.100067677e+00,1.614691385e+00,-8.244296413e-01,9.302531692e-03,3.482521528e-03
2.926829268e-01,2.896211569e+00,1.095672321e+00,1.608639770e+00,-8.196620312e-01,9.458475287e-03,3.439960303e-03
2.967479675e-01,2.877043866e+00,1.091191404e+00,1.602333039e+00,-8.148873311e-01,9.583909893e-03,3.411974207e-03
3.008130081e-01,2.857610237e+00,1.086631009e+00,1.595752135e+00,-8.101357514e-01,9.666165521e-03,3.405024749e-03
3.048780488e-01,2.837823771e+00,1.081989966e+00,1.588877999e+00,-8.054375028e-01,9.704176116e-03,3.420900159e-03
3.089430894e-01,2.817597553e+00,1.077264527e+00,1.581691686e+00,-8.008227031e-01,9.701024137e-03,3.460078315e-03
3.130081301e-01,2.796844672e+00,1.072450939e+00,1.574185260e+00,-7.963124116e-01,9.666482494e-03,3.522618565e-03
3.170731707e-01,2.775479225e+00,1.067545449e+00,1.566370885e+00,-7.919111461e-01,9.615251925e-03,3.608054173e-03
3.211382114e-01,2.753484033e+00,1.062544305e+00,1.558262868e+00,-7.876216629e-01,9.579863345e-03,3.713240187e-03
3.252032520e-01,2.730953423e+00,1.057443754e+00,1.549875515e+00,-7.834467182e-01,9.602099574e-03,3.832986750e-03
3.292682927e-01,2.707991917e+00,1.052240044e+00,1.541223132e+00,-7.793890684e-01,9.678340326e-03,3.961629462e-03
3.333333333e-01,2.684704037e+00,1.046929423e+00,1.532320026e+00,-7.754514696e-01,9.748876674e-03,4.092743204e-03
3.373983740e-01,2.661194306e+00,1.041508137e+00,1.523180502e+00,-7.716366782e-01,9.758623944e-03,4.222485335e-03
3.414634146e-01,2.637567246e+00,1.035972435e+00,1.513818866e+00,-7.679474504e-01,9.659021194e-03,4.351714751e-03
3.455284553e-01,2.613927380e+00,1.030318563e+00,1.504249426e+00,-7.643865426e-01,9.417101223e-03,4.482227381e-03
3.495934959e-01,2.590379229e+00,1.024542770e+00,1.494486486e+00,-7.609567109e-01,9.037805025e-03,4.616596789e-03
3.536585366e-01,2.567027317e+00,1.018641302e+00,1.484544353e+00,-7.576607117e-01,8.538259384e-03,4.757082879e-03
3.577235772e-01,2.543976167e+00,1.012610408e+00,1.474437333e+00,-7.545013012e-01,7.919326327e-03,4.902266922e-03
3.617886179e-01,2.521330299e+00,1.006446335e+00,1.464179733e+00,-7.514812358e-01,7.171712795e-03,5.048319311e-03
3.658536585e-01,2.499194238e+00,1.000145330e+00,1.453785858e+00,-7.486032716e-01,6.311267039e-03,5.188532506e-03
3.699186992e-01,2.477672505e+00,9.937036409e-01,1.443270015e+00,-7.458701650e-01,5.378840632e-03,5.312781688e-03
