y/delta, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
8.699186992e-01,2.255297937e-01,1.520614886e-01,1.243386241e-01,-8.327960981e-02,8.899992075e-03,1.179802570e-03
8.739837398e-01,2.163043387e-01,1.475328118e-01,1.198956758e-01,-8.152595503e-02,8.674152820e-03,1.175438317e-03
8.780487805e-01,2.072983603e-01,1.430580396e-01,1.155717161e-01,-7.989662973e-02,8.454399644e-03,1.176854482e-03
8.821138211e-01,1.985128655e-01,1.386333123e-01,1.113656433e-01,-7.838217144e-02,8.238034706e-03,1.182031841e-03
8.861788618e-01,1.899488614e-01,1.342559231e-01,1.072763559e-01,-7.697311769e-02,8.025141320e-03,1.188807448e-03
8.902439024e-01,1.816073549e-01,1.299288046e-01,1.033027523e-01,-7.566000599e-02,7.821807947e-03,1.194616060e-03
8.943089431e-01,1.734893531e-01,1.256566117e-01,9.944373092e-02,-7.443337387e-02,7.635453298e-03,1.196791272e-03
8.983739837e-01,1.655965290e-01,1.214439994e-01,9.569819023e-02,-7.328269979e-02,7.470947822e-03,1.193547189e-03
9.024390244e-01,1.579349512e-01,1.172956229e-01,9.206502863e-02,-7.219047218e-02,7.327260832e-03,1.185204565e-03
9.065040650e-01,1.505124701e-01,1.132161373e-01,8.854314456e-02,-7.113634644e-02,7.202369843e-03,1.172440500e-03
9.105691057e-01,1.433369407e-01,1.092101978e-01,8.513143644e-02,-7.009996992e-02,7.095175794e-03,1.156189046e-03
9.146341463e-01,1.364162184e-01,1.052824596e-01,8.182880270e-02,-6.906098996e-02,7.006969194e-03,1.138066852e-03
9.186991870e-01,1.297581585e-01,1.014375779e-01,7.863414177e-02,-6.799905391e-02,6.939422516e-03,1.119799850e-03
9.227642276e-01,1.233706162e-01,9.768020764e-02,7.554635208e-02,-6.689380911e-02,6.890038951e-03,1.102077894e-03
9.268292683e-01,1.172614467e-01,9.401500416e-02,7.256433206e-02,-6.572490290e-02,6.845778103e-03,1.082955867e-03
9.308943089e-01,1.114385054e-01,9.044662255e-02,6.968698013e-02,-6.447198264e-02,6.791642655e-03,1.060040434e-03
9.349593496e-01,1.059096475e-01,8.697971798e-02,6.691319472e-02,-6.311469567e-02,6.716715922e-03,1.031064605e-03
9.390243902e-01,1.006827283e-01,8.361894560e-02,6.424187426e-02,-6.163306636e-02,6.619426751e-03,9.940711850e-04
9.430894309e-01,9.576560294e-02,8.036896056e-02,6.167191719e-02,-6.002158258e-02,6.500024109e-03,9.470721915e-04
9.471544715e-01,9.116406798e-02,7.723441801e-02,5.920222192e-02,-5.829340956e-02,6.361314676e-03,8.892368913e-04
9.512195122e-01,8.686725991e-02,7.421997312e-02,5.683168690e-02,-5.646294964e-02,6.211559864e-03,8.221250668e-04
9.552845528e-01,8.285624321e-02,7.133028104e-02,5.455922735e-02,-5.454460516e-02,6.060963072e-03,7.479460845e-04
9.593495935e-01,7.911202937e-02,6.856999692e-02,5.238416449e-02,-5.255277845e-02,5.915248616e-03,6.689075895e-04
9.634146341e-01,7.561562990e-02,6.594377592e-02,5.030623653e-02,-5.050187186e-02,5.771712043e-03,5.873908864e-04
9.674796748e-01,7.234805627e-02,6.345627319e-02,4.832520069e-02,-4.840628772e-02,5.624936740e-03,5.058374288e-04
9.715447154e-01,6.929031998e-02,6.111214388e-02,4.644081417e-02,-4.628042836e-02,5.470989775e-03,4.264913932e-04
9.756097561e-01,6.642343252e-02,5.891604315e-02,4.465283419e-02,-4.413869614e-02,5.308463347e-03,3.511673251e-04
9.796747967e-01,6.372840539e-02,5.687262616e-02,4.296101797e-02,-4.199549338e-02,5.136377082e-03,2.815859006e-04
9.837398374e-01,6.118625006e-02,5.498591612e-02,4.136512272e-02,-3.986522243e-02,4.958696926e-03,2.190182655e-04
9.878048780e-01,5.877797805e-02,5.325191659e-02,3.986490566e-02,-3.776228562e-02,4.792301375e-03,1.635392386e-04
9.918699187e-01,5.648460082e-02,5.166111844e-02,3.846012401e-02,-3.570108530e-02,4.657517285e-03,1.149197550e-04
9.959349593e-01,5.428712989e-02,5.020390415e-02,3.715053497e-02,-3.369602379e-02,4.567044099e-03,7.256035471e-05
1.000000000e+00,5.216657673e-02,4.887065622e-02,3.593589577e-02,-3.176150344e-02,4.509358400e-03,3.452249600e-05
1.100000000e+00,1.000000000e-16,1.000000000e-16,1.000000000e-16,0.000000000e+00,0.000000000e+00,0.000000000e+00
