# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y+,             \bar{U}/utau
0.37158117E+03, 2.02771860E+01
0.37387488E+03, 2.02952650E+01
0.37616859E+03, 2.03133600E+01
0.37846230E+03, 2.03315170E+01
0.38075602E+03, 2.03496090E+01
0.38304973E+03, 2.03674790E+01
0.38534344E+03, 2.03850180E+01
0.38763715E+03, 2.04022200E+01
0.38993086E+03, 2.04190970E+01
0.39222457E+03, 2.04357000E+01
0.39451828E+03, 2.04521580E+01
0.39681199E+03, 2.04686130E+01
0.39910570E+03, 2.04851200E+01
0.40139941E+03, 2.05015880E+01
0.40369313E+03, 2.05179120E+01
0.40598684E+03, 2.05340430E+01
0.40828055E+03, 2.05500360E+01
0.41057426E+03, 2.05659510E+01
0.41286797E+03, 2.05817830E+01
0.41516168E+03, 2.05974190E+01
0.41745539E+03, 2.06127370E+01
0.41974910E+03, 2.06277300E+01
0.42204281E+03, 2.06425780E+01
0.42433652E+03, 2.06574740E+01
0.42663023E+03, 2.06724740E+01
0.42892395E+03, 2.06873940E+01
0.43121766E+03, 2.07020290E+01
0.43351137E+03, 2.07163020E+01
0.43580508E+03, 2.07303760E+01
0.43809879E+03, 2.07444330E+01
0.44039250E+03, 2.07585730E+01
0.44268621E+03, 2.07727290E+01
0.44497992E+03, 2.07868140E+01
0.44727363E+03, 2.08007520E+01
0.44956734E+03, 2.08144930E+01
0.45186105E+03, 2.08279900E+01
0.45415477E+03, 2.08412230E+01
0.45644848E+03, 2.08542480E+01
0.45874219E+03, 2.08671320E+01
0.46103590E+03, 2.08799230E+01
0.46332961E+03, 2.08926270E+01
0.46562332E+03, 2.09052370E+01
0.46791703E+03, 2.09177420E+01
0.47021074E+03, 2.09301060E+01
0.47250445E+03, 2.09422870E+01
0.47479816E+03, 2.09542470E+01
0.47709188E+03, 2.09659600E+01
0.47938559E+03, 2.09774040E+01
0.48167930E+03, 2.09885720E+01
0.48397301E+03, 2.09995420E+01
0.48626672E+03, 2.10104230E+01
0.48856043E+03, 2.10213060E+01
0.49085414E+03, 2.10320940E+01
0.49314785E+03, 2.10426020E+01
0.49544156E+03, 2.10526640E+01
0.49773527E+03, 2.10623380E+01
0.50002898E+03, 2.10718250E+01
0.50232270E+03, 2.10813180E+01
0.50461641E+03, 2.10908000E+01
0.50691012E+03, 2.11000710E+01
0.50920383E+03, 2.11089330E+01
0.51149754E+03, 2.11173700E+01
0.51379125E+03, 2.11255680E+01
0.51608496E+03, 2.11337280E+01
0.51837867E+03, 2.11419030E+01
0.52067238E+03, 2.11499310E+01
0.52296609E+03, 2.11576280E+01
0.52525980E+03, 2.11649010E+01
0.52755352E+03, 2.11718520E+01
0.52984723E+03, 2.11786050E+01
0.53214094E+03, 2.11852360E+01
0.53443465E+03, 2.11916660E+01
0.53672836E+03, 2.11977890E+01
0.53902207E+03, 2.12035290E+01
0.54131578E+03, 2.12089450E+01
0.54360949E+03, 2.12141320E+01
0.54590320E+03, 2.12191730E+01
0.54819691E+03, 2.12240380E+01
0.55049063E+03, 2.12286530E+01
0.55278434E+03, 2.12329510E+01
0.55507805E+03, 2.12369060E+01
0.55737176E+03, 2.12405190E+01
0.55966547E+03, 2.12437950E+01
0.56195918E+03, 2.12467680E+01
