# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
 1.44531251E-01,  1.61474090E+01,  3.32204940E+00,  1.07624630E+00,  1.69658730E+00, -8.20176780E-01,  5.79259340E-03, -6.04482610E-04,
 1.48437501E-01,  1.62106660E+01,  3.28634780E+00,  1.07478720E+00,  1.68519900E+00, -8.16649370E-01,  5.93953190E-03, -7.03585560E-04,
 1.52343751E-01,  1.62730000E+01,  3.25240960E+00,  1.07299840E+00,  1.67400640E+00, -8.13055590E-01,  6.07691460E-03, -7.14506850E-04,
 1.56250001E-01,  1.63340670E+01,  3.22017220E+00,  1.07085670E+00,  1.66284080E+00, -8.09386070E-01,  6.22729380E-03, -6.71291120E-04,
 1.60156249E-01,  1.63936010E+01,  3.18956620E+00,  1.06838420E+00,  1.65163170E+00, -8.05641590E-01,  6.40490040E-03, -6.06970420E-04,
 1.64062499E-01,  1.64521870E+01,  3.16040780E+00,  1.06573900E+00,  1.64051680E+00, -8.01840840E-01,  6.55106710E-03, -5.25250440E-04,
 1.67968749E-01,  1.65098110E+01,  3.13259680E+00,  1.06292650E+00,  1.62956450E+00, -7.98004400E-01,  6.59018260E-03, -4.17967650E-04,
 1.71874998E-01,  1.65660350E+01,  3.10610380E+00,  1.05984790E+00,  1.61875610E+00, -7.94152920E-01,  6.45948610E-03, -2.73766540E-04,
 1.75781246E-01,  1.66211890E+01,  3.08086370E+00,  1.05658810E+00,  1.60797760E+00, -7.90306950E-01,  6.22269420E-03, -1.05488920E-04,
 1.79687495E-01,  1.66756470E+01,  3.05680420E+00,  1.05326220E+00,  1.59714080E+00, -7.86487040E-01,  5.97275790E-03,  7.06261240E-05,
 1.83593743E-01,  1.67290090E+01,  3.03387370E+00,  1.04986010E+00,  1.58634310E+00, -7.82713620E-01,  5.74427990E-03,  2.56263660E-04,
 1.87500009E-01,  1.67810880E+01,  3.01195640E+00,  1.04636480E+00,  1.57573040E+00, -7.78989870E-01,  5.52837650E-03,  4.58714170E-04,
 1.91406257E-01,  1.68322920E+01,  2.99082440E+00,  1.04278930E+00,  1.56546670E+00, -7.75289670E-01,  5.26354850E-03,  6.88223790E-04,
 1.95312505E-01,  1.68828740E+01,  2.97029440E+00,  1.03917440E+00,  1.55558700E+00, -7.71577380E-01,  4.93997290E-03,  9.34469880E-04,
 1.99218754E-01,  1.69328500E+01,  2.95024660E+00,  1.03558440E+00,  1.54599080E+00, -7.67812680E-01,  4.60753180E-03,  1.16617490E-03,
 2.03125002E-01,  1.69821080E+01,  2.93062380E+00,  1.03203510E+00,  1.53663520E+00, -7.63989300E-01,  4.30642550E-03,  1.36943090E-03,
 2.07031251E-01,  1.70305000E+01,  2.91142380E+00,  1.02850430E+00,  1.52752060E+00, -7.60126670E-01,  4.06274250E-03,  1.54565520E-03,
 2.10937499E-01,  1.70782860E+01,  2.89274770E+00,  1.02495490E+00,  1.51861180E+00, -7.56248940E-01,  3.85790250E-03,  1.71309000E-03,
 2.14843747E-01,  1.71258500E+01,  2.87472150E+00,  1.02134790E+00,  1.50985730E+00, -7.52381520E-01,  3.66039430E-03,  1.89600310E-03,
 2.18749996E-01,  1.71728770E+01,  2.85726600E+00,  1.01768560E+00,  1.50122850E+00, -7.48542780E-01,  3.51474140E-03,  2.09896950E-03,
 2.22656244E-01,  1.72188680E+01,  2.84021910E+00,  1.01398240E+00,  1.49270290E+00, -7.44745400E-01,  3.49195570E-03,  2.31553860E-03,
 2.26562493E-01,  1.72640180E+01,  2.82345050E+00,  1.01022230E+00,  1.48423850E+00, -7.40985690E-01,  3.62685620E-03,  2.52386430E-03,
 2.30468758E-01,  1.73087030E+01,  2.80685570E+00,  1.00638230E+00,  1.47578590E+00, -7.37254110E-01,  3.93487140E-03,  2.69985530E-03,
 2.34375006E-01,  1.73528900E+01,  2.79040760E+00,  1.00246180E+00,  1.46729460E+00, -7.33541830E-01,  4.39790840E-03,  2.83857720E-03,
 2.38281255E-01,  1.73964300E+01,  2.77409530E+00,  9.98471040E-01,  1.45871310E+00, -7.29841060E-01,  4.98094320E-03,  2.94425280E-03,
 2.42187503E-01,  1.74393240E+01,  2.75784920E+00,  9.94435330E-01,  1.44998630E+00, -7.26148720E-01,  5.61886080E-03,  3.03530910E-03,
 2.46093752E-01,  1.74816500E+01,  2.74159870E+00,  9.90382370E-01,  1.44107950E+00, -7.22463230E-01,  6.24016690E-03,  3.13262410E-03,
 2.50000000E-01,  1.75236360E+01,  2.72540100E+00,  9.86319320E-01,  1.43209980E+00, -7.18782160E-01,  6.80072540E-03,  3.24055530E-03,
 2.53906248E-01,  1.75655100E+01,  2.70935450E+00,  9.82245460E-01,  1.42319900E+00, -7.15102840E-01,  7.27161080E-03,  3.35551730E-03,
 2.57812497E-01,  1.76070270E+01,  2.69348280E+00,  9.78162290E-01,  1.41443780E+00, -7.11423400E-01,  7.65861780E-03,  3.46285580E-03,
 2.61718745E-01,  1.76477490E+01,  2.67777310E+00,  9.74072370E-01,  1.40583470E+00, -7.07741720E-01,  7.98388010E-03,  3.54377910E-03,
 2.65624994E-01,  1.76876610E+01,  2.66220310E+00,  9.69978730E-01,  1.39742340E+00, -7.04049040E-01,  8.26677980E-03,  3.59204260E-03,
 2.69531242E-01,  1.77270000E+01,  2.64674520E+00,  9.65884460E-01,  1.38924340E+00, -7.00332610E-01,  8.52424440E-03,  3.60927730E-03,
 2.73437507E-01,  1.77659790E+01,  2.63137750E+00,  9.61789630E-01,  1.38126750E+00, -6.96582640E-01,  8.76095430E-03,  3.59943970E-03,
 2.77343756E-01,  1.78047780E+01,  2.61608500E+00,  9.57691990E-01,  1.37341210E+00, -6.92792230E-01,  8.97131830E-03,  3.56842780E-03,
 2.81250004E-01,  1.78434030E+01,  2.60090100E+00,  9.53598660E-01,  1.36558730E+00, -6.88966960E-01,  9.15534300E-03,  3.52422360E-03,
 2.85156253E-01,  1.78816370E+01,  2.58592070E+00,  9.49528780E-01,  1.35769790E+00, -6.85128160E-01,  9.32055880E-03,  3.47738210E-03,
 2.89062501E-01,  1.79193510E+01,  2.57117530E+00,  9.45491390E-01,  1.34968470E+00, -6.81291020E-01,  9.46848180E-03,  3.43742970E-03,
 2.92968749E-01,  1.79566200E+01,  2.55655610E+00,  9.41472930E-01,  1.34156360E+00, -6.77455940E-01,  9.58716880E-03,  3.41141650E-03,
 2.96874998E-01,  1.79935330E+01,  2.54195710E+00,  9.37461260E-01,  1.33336800E+00, -6.73622450E-01,  9.66569630E-03,  3.40499130E-03,
 3.00781246E-01,  1.80301450E+01,  2.52734980E+00,  9.33460090E-01,  1.32516250E+00, -6.69793920E-01,  9.70336590E-03,  3.41963710E-03,
 3.04687495E-01,  1.80665090E+01,  2.51272590E+00,  9.29475740E-01,  1.31701700E+00, -6.65974010E-01,  9.70268270E-03,  3.45579550E-03,
 3.08593743E-01,  1.81027120E+01,  2.49809440E+00,  9.25505540E-01,  1.30898600E+00, -6.62161510E-01,  9.67214950E-03,  3.51351650E-03,
 3.12500009E-01,  1.81388540E+01,  2.48347220E+00,  9.21542740E-01,  1.30111520E+00, -6.58353150E-01,  9.62374710E-03,  3.59256170E-03,
 3.16406257E-01,  1.81747940E+01,  2.46887380E+00,  9.17583980E-01,  1.29341220E+00, -6.54550130E-01,  9.58342360E-03,  3.69052210E-03,
 3.20312505E-01,  1.82101720E+01,  2.45431180E+00,  9.13629100E-01,  1.28584930E+00, -6.50757890E-01,  9.59010990E-03,  3.80293670E-03,
 3.24218754E-01,  1.82448550E+01,  2.43978910E+00,  9.09680000E-01,  1.27839360E+00, -6.46981850E-01,  9.65479760E-03,  3.92491580E-03,
 3.28125002E-01,  1.82791850E+01,  2.42528970E+00,  9.05742500E-01,  1.27100480E+00, -6.43227110E-01,  9.73055360E-03,  4.05086080E-03,
 3.32031251E-01,  1.83134820E+01,  2.41079910E+00,  9.01821270E-01,  1.26364630E+00, -6.39496460E-01,  9.76510510E-03,  4.17599440E-03,
 3.35937499E-01,  1.83476410E+01,  2.39632150E+00,  8.97912390E-01,  1.25630430E+00, -6.35781070E-01,  9.71489960E-03,  4.30018700E-03,
 3.39843747E-01,  1.83814360E+01,  2.38186820E+00,  8.94009690E-01,  1.24897260E+00, -6.32068780E-01,  9.54098860E-03,  4.42482830E-03,
 3.43749996E-01,  1.84148620E+01,  2.36746500E+00,  8.90113940E-01,  1.24164980E+00, -6.28353640E-01,  9.23432250E-03,  4.55189330E-03,
 3.47656244E-01,  1.84480960E+01,  2.35314920E+00,  8.86231610E-01,  1.23433820E+00, -6.24634740E-01,  8.81027860E-03,  4.68382610E-03,
 3.51562493E-01,  1.84812240E+01,  2.33892900E+00,  8.82365780E-01,  1.22703370E+00, -6.20911110E-01,  8.27794320E-03,  4.82139410E-03,
 3.55468758E-01,  1.85141220E+01,  2.32474940E+00,  8.78511910E-01,  1.21971780E+00, -6.17181240E-01,  7.63135210E-03,  4.96173560E-03,
 3.59375006E-01,  1.85466660E+01,  2.31054750E+00,  8.74665760E-01,  1.21236910E+00, -6.13445070E-01,  6.86691620E-03,  5.10098390E-03,
 3.63281255E-01,  1.85789060E+01,  2.29626310E+00,  8.70831990E-01,  1.20495610E+00, -6.09712910E-01,  6.01100180E-03,  5.23156440E-03,
 3.67187503E-01,  1.86109710E+01,  2.28183830E+00,  8.67018690E-01,  1.19744450E+00, -6.05999140E-01,  5.10296510E-03,  5.34439890E-03,
 3.71093752E-01,  1.86429400E+01,  2.26723540E+00,  8.63223160E-01,  1.18983620E+00, -6.02306820E-01,  4.19383340E-03,  5.43289350E-03,
