# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau, Ruu/utau^2, Rvv/utau^2, Rww/utau^2, Ruv/utau^2, Ruw/utau^2, Rvw/utau^2
 6.36718745E-01,  2.02952650E+01,  1.30121240E+00,  5.82258770E-01,  7.41676100E-01, -3.47613650E-01,  1.46902590E-02,  5.46806120E-03,
 6.40624994E-01,  2.03133600E+01,  1.28924460E+00,  5.78847890E-01,  7.35253720E-01, -3.43872260E-01,  1.49205050E-02,  5.30088630E-03,
 6.44531242E-01,  2.03315170E+01,  1.27733010E+00,  5.75469600E-01,  7.28832050E-01, -3.40119960E-01,  1.51378350E-02,  5.12237650E-03,
 6.48437507E-01,  2.03496090E+01,  1.26550750E+00,  5.72121410E-01,  7.22420790E-01, -3.36361740E-01,  1.53251320E-02,  4.94026130E-03,
 6.52343756E-01,  2.03674790E+01,  1.25382160E+00,  5.68801070E-01,  7.16028590E-01, -3.32603340E-01,  1.54633630E-02,  4.76332860E-03,
 6.56250004E-01,  2.03850180E+01,  1.24229790E+00,  5.65506510E-01,  7.09660500E-01, -3.28847010E-01,  1.55431340E-02,  4.59865230E-03,
 6.60156253E-01,  2.04022200E+01,  1.23091760E+00,  5.62235960E-01,  7.03313520E-01, -3.25087070E-01,  1.55768000E-02,  4.44944050E-03,
 6.64062501E-01,  2.04190970E+01,  1.21965600E+00,  5.58987710E-01,  6.96983570E-01, -3.21316770E-01,  1.55797000E-02,  4.31835260E-03,
 6.67968749E-01,  2.04357000E+01,  1.20849360E+00,  5.55760680E-01,  6.90671710E-01, -3.17531170E-01,  1.55678960E-02,  4.20564050E-03,
 6.71874998E-01,  2.04521580E+01,  1.19742160E+00,  5.52555020E-01,  6.84389100E-01, -3.13728900E-01,  1.55588700E-02,  4.10680890E-03,
 6.75781246E-01,  2.04686130E+01,  1.18643210E+00,  5.49371020E-01,  6.78148000E-01, -3.09909030E-01,  1.55702140E-02,  4.01680980E-03,
 6.79687495E-01,  2.04851200E+01,  1.17553020E+00,  5.46208850E-01,  6.71951930E-01, -3.06072260E-01,  1.56145200E-02,  3.93083150E-03,
 6.83593743E-01,  2.05015880E+01,  1.16474320E+00,  5.43068490E-01,  6.65788700E-01, -3.02222280E-01,  1.56954240E-02,  3.84448560E-03,
 6.87500009E-01,  2.05179120E+01,  1.15410090E+00,  5.39949880E-01,  6.59644540E-01, -2.98363070E-01,  1.58155860E-02,  3.75343820E-03,
 6.91406257E-01,  2.05340430E+01,  1.14361410E+00,  5.36851140E-01,  6.53508620E-01, -2.94498430E-01,  1.59743230E-02,  3.65416510E-03,
 6.95312505E-01,  2.05500360E+01,  1.13326220E+00,  5.33767420E-01,  6.47375040E-01, -2.90631850E-01,  1.61653110E-02,  3.54450630E-03,
 6.99218754E-01,  2.05659510E+01,  1.12302170E+00,  5.30693580E-01,  6.41238560E-01, -2.86766810E-01,  1.63817100E-02,  3.42247260E-03,
 7.03125002E-01,  2.05817830E+01,  1.11288010E+00,  5.27626920E-01,  6.35104540E-01, -2.82907460E-01,  1.66183390E-02,  3.28886410E-03,
 7.07031251E-01,  2.05974190E+01,  1.10284270E+00,  5.24568680E-01,  6.28995900E-01, -2.79059020E-01,  1.68727510E-02,  3.14906610E-03,
 7.10937499E-01,  2.06127370E+01,  1.09291620E+00,  5.21520450E-01,  6.22937140E-01, -2.75226820E-01,  1.71427080E-02,  3.00888720E-03,
 7.14843747E-01,  2.06277300E+01,  1.08309020E+00,  5.18482980E-01,  6.16951540E-01, -2.71414580E-01,  1.74228730E-02,  2.87387420E-03,
 7.18749996E-01,  2.06425780E+01,  1.07332640E+00,  5.15455630E-01,  6.11060360E-01, -2.67623420E-01,  1.77028200E-02,  2.74914530E-03,
 7.22656244E-01,  2.06574740E+01,  1.06358400E+00,  5.12437640E-01,  6.05284520E-01, -2.63854170E-01,  1.79716820E-02,  2.63974300E-03,
 7.26562493E-01,  2.06724740E+01,  1.05384160E+00,  5.09429480E-01,  5.99634670E-01, -2.60105200E-01,  1.82212300E-02,  2.54794180E-03,
 7.30468758E-01,  2.06873940E+01,  1.04411060E+00,  5.06433700E-01,  5.94103950E-01, -2.56370740E-01,  1.84477040E-02,  2.47131590E-03,
 7.34375006E-01,  2.07020290E+01,  1.03440530E+00,  5.03453040E-01,  5.88683720E-01, -2.52644620E-01,  1.86477690E-02,  2.40698730E-03,
 7.38281255E-01,  2.07163020E+01,  1.02473250E+00,  5.00488940E-01,  5.83359210E-01, -2.48921650E-01,  1.88169920E-02,  2.35247610E-03,
 7.42187503E-01,  2.07303760E+01,  1.01508520E+00,  4.97540480E-01,  5.78104580E-01, -2.45198380E-01,  1.89489620E-02,  2.30601930E-03,
 7.46093752E-01,  2.07444330E+01,  1.00545510E+00,  4.94606500E-01,  5.72892920E-01, -2.41471600E-01,  1.90370650E-02,  2.26593440E-03,
 7.50000000E-01,  2.07585730E+01,  9.95839340E-01,  4.91686510E-01,  5.67710510E-01, -2.37739910E-01,  1.90746760E-02,  2.23127440E-03,
 7.53906248E-01,  2.07727290E+01,  9.86246440E-01,  4.88781330E-01,  5.62569720E-01, -2.34005590E-01,  1.90551570E-02,  2.20254620E-03,
 7.57812497E-01,  2.07868140E+01,  9.76686080E-01,  4.85891950E-01,  5.57485930E-01, -2.30271370E-01,  1.89718810E-02,  2.18042260E-03,
 7.61718745E-01,  2.08007520E+01,  9.67164290E-01,  4.83019420E-01,  5.52472740E-01, -2.26538830E-01,  1.88206500E-02,  2.16462300E-03,
 7.65624994E-01,  2.08144930E+01,  9.57678860E-01,  4.80164920E-01,  5.47539680E-01, -2.22807100E-01,  1.86026830E-02,  2.15274230E-03,
 7.69531242E-01,  2.08279900E+01,  9.48226480E-01,  4.77329690E-01,  5.42695740E-01, -2.19075000E-01,  1.83199370E-02,  2.14208860E-03,
 7.73437507E-01,  2.08412230E+01,  9.38806980E-01,  4.74515210E-01,  5.37948200E-01, -2.15341080E-01,  1.79757870E-02,  2.13010400E-03,
 7.77343756E-01,  2.08542480E+01,  9.29428380E-01,  4.71723630E-01,  5.33300000E-01, -2.11603350E-01,  1.75772870E-02,  2.11457520E-03,
 7.81250004E-01,  2.08671320E+01,  9.20099970E-01,  4.68957210E-01,  5.28753360E-01, -2.07859710E-01,  1.71320740E-02,  2.09334450E-03,
 7.85156253E-01,  2.08799230E+01,  9.10831040E-01,  4.66218160E-01,  5.24307670E-01, -2.04109240E-01,  1.66500600E-02,  2.06509690E-03,
 7.89062501E-01,  2.08926270E+01,  9.01630800E-01,  4.63508360E-01,  5.19953550E-01, -2.00354580E-01,  1.61481490E-02,  2.03110980E-03,
 7.92968749E-01,  2.09052370E+01,  8.92508490E-01,  4.60829710E-01,  5.15679970E-01, -1.96599080E-01,  1.56445860E-02,  1.99315730E-03,
 7.96874998E-01,  2.09177420E+01,  8.83474300E-01,  4.58183750E-01,  5.11476540E-01, -1.92845350E-01,  1.51551160E-02,  1.95254170E-03,
 8.00781246E-01,  2.09301060E+01,  8.74542170E-01,  4.55570930E-01,  5.07335550E-01, -1.89093180E-01,  1.46860400E-02,  1.90878090E-03,
 8.04687495E-01,  2.09422870E+01,  8.65726960E-01,  4.52991390E-01,  5.03249870E-01, -1.85341690E-01,  1.42414220E-02,  1.86097140E-03,
 8.08593743E-01,  2.09542470E+01,  8.57041480E-01,  4.50445700E-01,  4.99213640E-01, -1.81590560E-01,  1.38235630E-02,  1.80851760E-03,
 8.12500009E-01,  2.09659600E+01,  8.48489010E-01,  4.47936260E-01,  4.95227100E-01, -1.77841950E-01,  1.34263200E-02,  1.75229570E-03,
 8.16406257E-01,  2.09774040E+01,  8.40069970E-01,  4.45466040E-01,  4.91292240E-01, -1.74098810E-01,  1.30410280E-02,  1.69362100E-03,
 8.20312505E-01,  2.09885720E+01,  8.31780520E-01,  4.43037480E-01,  4.87411010E-01, -1.70363090E-01,  1.26597280E-02,  1.63385080E-03,
 8.24218754E-01,  2.09995420E+01,  8.23590820E-01,  4.40649780E-01,  4.83584760E-01, -1.66630820E-01,  1.22787600E-02,  1.57460180E-03,
 8.28125002E-01,  2.10104230E+01,  8.15461120E-01,  4.38300890E-01,  4.79814640E-01, -1.62895760E-01,  1.18961030E-02,  1.51758900E-03,
 8.32031251E-01,  2.10213060E+01,  8.07355680E-01,  4.35989400E-01,  4.76101450E-01, -1.59152440E-01,  1.15106520E-02,  1.46436950E-03,
 8.35937499E-01,  2.10320940E+01,  7.99271940E-01,  4.33719200E-01,  4.72443380E-01, -1.55401690E-01,  1.11289360E-02,  1.41518260E-03,
 8.39843747E-01,  2.10426020E+01,  7.91223870E-01,  4.31496770E-01,  4.68837270E-01, -1.51647500E-01,  1.07612750E-02,  1.36961320E-03,
 8.43749996E-01,  2.10526640E+01,  7.83225760E-01,  4.29328180E-01,  4.65280240E-01, -1.47893600E-01,  1.04174160E-02,  1.32730560E-03,
 8.47656244E-01,  2.10623380E+01,  7.75294190E-01,  4.27214330E-01,  4.61772530E-01, -1.44140320E-01,  1.01001930E-02,  1.28864550E-03,
 8.51562493E-01,  2.10718250E+01,  7.67447220E-01,  4.25152750E-01,  4.58316400E-01, -1.40385790E-01,  9.80798920E-03,  1.25449550E-03,
 8.55468758E-01,  2.10813180E+01,  7.59703200E-01,  4.23141040E-01,  4.54914690E-01, -1.36628420E-01,  9.53903000E-03,  1.22571630E-03,
 8.59375006E-01,  2.10908000E+01,  7.52084610E-01,  4.21178870E-01,  4.51579420E-01, -1.32871560E-01,  9.29005710E-03,  1.20299360E-03,
 8.63281255E-01,  2.11000710E+01,  7.44617550E-01,  4.19267610E-01,  4.48330510E-01, -1.29122830E-01,  9.05654090E-03,  1.18686310E-03,
 8.67187503E-01,  2.11089330E+01,  7.37327710E-01,  4.17408740E-01,  4.45187770E-01, -1.25389790E-01,  8.83394530E-03,  1.17782090E-03,
 8.71093752E-01,  2.11173700E+01,  7.30226710E-01,  4.15603780E-01,  4.42160060E-01, -1.21674420E-01,  8.61874240E-03,  1.17533420E-03,
 8.75000000E-01,  2.11255680E+01,  7.23310100E-01,  4.13854350E-01,  4.39243830E-01, -1.17972360E-01,  8.40855190E-03,  1.17770010E-03,
 8.78906248E-01,  2.11337280E+01,  7.16572560E-01,  4.12162090E-01,  4.36434790E-01, -1.14278920E-01,  8.20110990E-03,  1.18314870E-03,
 8.82812497E-01,  2.11419030E+01,  7.10006840E-01,  4.10529660E-01,  4.33724610E-01, -1.10592170E-01,  7.99741340E-03,  1.18969360E-03,
 8.86718745E-01,  2.11499310E+01,  7.03602760E-01,  4.08961380E-01,  4.31098760E-01, -1.06914370E-01,  7.80351200E-03,  1.19501280E-03,
 8.90624994E-01,  2.11576280E+01,  6.97349900E-01,  4.07461670E-01,  4.28542180E-01, -1.03248160E-01,  7.62587550E-03,  1.19676030E-03,
 8.94531242E-01,  2.11649010E+01,  6.91239030E-01,  4.06033830E-01,  4.26044610E-01, -9.95933010E-02,  7.46854850E-03,  1.19345400E-03,
 8.98437507E-01,  2.11718520E+01,  6.85263480E-01,  4.04678820E-01,  4.23606010E-01, -9.59435360E-02,  7.33040600E-03,  1.18545330E-03,
 9.02343756E-01,  2.11786050E+01,  6.79416930E-01,  4.03397250E-01,  4.21227630E-01, -9.22918200E-02,  7.20965950E-03,  1.17335420E-03,
 9.06250004E-01,  2.11852360E+01,  6.73698370E-01,  4.02189190E-01,  4.18912880E-01, -8.86330870E-02,  7.10522420E-03,  1.15795380E-03,
 9.10156253E-01,  2.11916660E+01,  6.68123090E-01,  4.01053000E-01,  4.16671650E-01, -8.49683140E-02,  7.01816640E-03,  1.14066440E-03,
 9.14062501E-01,  2.11977890E+01,  6.62709480E-01,  3.99986690E-01,  4.14515060E-01, -8.12996260E-02,  6.94996170E-03,  1.12301570E-03,
 9.17968749E-01,  2.12035290E+01,  6.57473160E-01,  3.98988130E-01,  4.12454120E-01, -7.76285590E-02,  6.89989670E-03,  1.10599200E-03,
 9.21874998E-01,  2.12089450E+01,  6.52417420E-01,  3.98054430E-01,  4.10499240E-01, -7.39540150E-02,  6.85751370E-03,  1.08815240E-03,
 9.25781246E-01,  2.12141320E+01,  6.47542070E-01,  3.97182510E-01,  4.08660690E-01, -7.02741620E-02,  6.80964510E-03,  1.06738090E-03,
 9.29687495E-01,  2.12191730E+01,  6.42848260E-01,  3.96369620E-01,  4.06948140E-01, -6.65873570E-02,  6.74440130E-03,  1.04160110E-03,
 9.33593743E-01,  2.12240380E+01,  6.38345720E-01,  3.95615330E-01,  4.05367420E-01, -6.28932350E-02,  6.65848670E-03,  1.00900060E-03,
 9.37500009E-01,  2.12286530E+01,  6.34047760E-01,  3.94920130E-01,  4.03922770E-01, -5.91919560E-02,  6.55214770E-03,  9.67875610E-04,
 9.41406257E-01,  2.12329510E+01,  6.29967450E-01,  3.94284480E-01,  4.02617650E-01, -5.54838240E-02,  6.42611040E-03,  9.16725030E-04,
 9.45312505E-01,  2.12369060E+01,  6.26115500E-01,  3.93707960E-01,  4.01447340E-01, -5.17706660E-02,  6.28602420E-03,  8.56171060E-04,
 9.49218754E-01,  2.12405190E+01,  6.22501180E-01,  3.93189650E-01,  4.00402260E-01, -4.80552140E-02,  6.14048140E-03,  7.88105220E-04,
 9.53125002E-01,  2.12437950E+01,  6.19133700E-01,  3.92728580E-01,  3.99472550E-01, -4.43401330E-02,  5.99772920E-03,  7.14443230E-04,
 9.57031251E-01,  2.12467680E+01,  6.16021840E-01,  3.92323030E-01,  3.98645280E-01, -4.06266680E-02,  5.85924490E-03,  6.37225790E-04,
 9.60937499E-01,  2.12495020E+01,  6.13173930E-01,  3.91970590E-01,  3.97904870E-01, -3.69148540E-02,  5.72072470E-03,  5.58600340E-04,
 9.64843747E-01,  2.12520600E+01,  6.10598220E-01,  3.91668850E-01,  3.97235940E-01, -3.32047010E-02,  5.57772590E-03,  4.80709820E-04,
 9.68749996E-01,  2.12544510E+01,  6.08298700E-01,  3.91414000E-01,  3.96632900E-01, -2.94968770E-02,  5.42742700E-03,  4.05425060E-04,
 9.72656244E-01,  2.12566180E+01,  6.06274170E-01,  3.91200640E-01,  3.96102220E-01, -2.57928450E-02,  5.26899700E-03,  3.34282720E-04,
 9.76562493E-01,  2.12584990E+01,  6.04523220E-01,  3.91023240E-01,  3.95651050E-01, -2.20941130E-02,  5.10179620E-03,  2.68792570E-04,
 9.80468758E-01,  2.12600500E+01,  6.03051530E-01,  3.90877950E-01,  3.95284360E-01, -1.84014040E-02,  4.93141230E-03,  2.09890240E-04,
 9.84375006E-01,  2.12612530E+01,  6.01877440E-01,  3.90763810E-01,  3.95003160E-01, -1.47140580E-02,  4.77450310E-03,  1.57490700E-04,
 9.88281255E-01,  2.12620950E+01,  6.01020540E-01,  3.90680170E-01,  3.94808040E-01, -1.10312690E-02,  4.64885190E-03,  1.11403030E-04,
 9.92187503E-01,  2.12625950E+01,  6.00469600E-01,  3.90624210E-01,  3.94692700E-01, -7.35212720E-03,  4.56426100E-03,  7.10038780E-05,
 9.96093752E-01,  2.12628570E+01,  6.00131570E-01,  3.90587340E-01,  3.94632550E-01, -3.67544810E-03,  4.50935840E-03,  3.45224960E-05,
 1.00000000E+00,  2.12630000E+01,  5.99900000E-01,  3.90560000E-01,  3.94600000E-01,  0.00000000E+00,  4.46930000E-03,  0.00000000E+00,
