# Approximates mean and Reynolds stress values for fully-developed
# turbulent velocity profile using the DNS data of Moser, Kim &
# Mansour ("DNS of Turbulent Channel Flow up to Re_tau = 590,"
# Physics of Fluids, 11: 943-945, 1999).
y/delta, \bar{U}/utau
 5.97656244E-01,  2.01076040E+01
 6.01562493E-01,  2.01270890E+01
 6.05468758E-01,  2.01463660E+01
 6.09375006E-01,  2.01655070E+01
 6.13281255E-01,  2.01845220E+01
 6.17187503E-01,  2.02033960E+01
 6.21093752E-01,  2.02221150E+01
 6.25000000E-01,  2.02406600E+01
 6.28906248E-01,  2.02590150E+01
 6.32812497E-01,  2.02771860E+01
 6.36718745E-01,  2.02952650E+01
 6.40624994E-01,  2.03133600E+01
 6.44531242E-01,  2.03315170E+01
 6.48437507E-01,  2.03496090E+01
 6.52343756E-01,  2.03674790E+01
 6.56250004E-01,  2.03850180E+01
 6.60156253E-01,  2.04022200E+01
 6.64062501E-01,  2.04190970E+01
 6.67968749E-01,  2.04357000E+01
 6.71874998E-01,  2.04521580E+01
 6.75781246E-01,  2.04686130E+01
 6.79687495E-01,  2.04851200E+01
 6.83593743E-01,  2.05015880E+01
 6.87500009E-01,  2.05179120E+01
 6.91406257E-01,  2.05340430E+01
 6.95312505E-01,  2.05500360E+01
 6.99218754E-01,  2.05659510E+01
 7.03125002E-01,  2.05817830E+01
 7.07031251E-01,  2.05974190E+01
 7.10937499E-01,  2.06127370E+01
 7.14843747E-01,  2.06277300E+01
 7.18749996E-01,  2.06425780E+01
 7.22656244E-01,  2.06574740E+01
 7.26562493E-01,  2.06724740E+01
 7.30468758E-01,  2.06873940E+01
 7.34375006E-01,  2.07020290E+01
 7.38281255E-01,  2.07163020E+01
 7.42187503E-01,  2.07303760E+01
 7.46093752E-01,  2.07444330E+01
 7.50000000E-01,  2.07585730E+01
 7.53906248E-01,  2.07727290E+01
 7.57812497E-01,  2.07868140E+01
 7.61718745E-01,  2.08007520E+01
 7.65624994E-01,  2.08144930E+01
 7.69531242E-01,  2.08279900E+01
 7.73437507E-01,  2.08412230E+01
 7.77343756E-01,  2.08542480E+01
 7.81250004E-01,  2.08671320E+01
 7.85156253E-01,  2.08799230E+01
 7.89062501E-01,  2.08926270E+01
 7.92968749E-01,  2.09052370E+01
 7.96874998E-01,  2.09177420E+01
 8.00781246E-01,  2.09301060E+01
 8.04687495E-01,  2.09422870E+01
 8.08593743E-01,  2.09542470E+01
 8.12500009E-01,  2.09659600E+01
 8.16406257E-01,  2.09774040E+01
 8.20312505E-01,  2.09885720E+01
 8.24218754E-01,  2.09995420E+01
 8.28125002E-01,  2.10104230E+01
 8.32031251E-01,  2.10213060E+01
 8.35937499E-01,  2.10320940E+01
 8.39843747E-01,  2.10426020E+01
 8.43749996E-01,  2.10526640E+01
 8.47656244E-01,  2.10623380E+01
 8.51562493E-01,  2.10718250E+01
 8.55468758E-01,  2.10813180E+01
 8.59375006E-01,  2.10908000E+01
 8.63281255E-01,  2.11000710E+01
 8.67187503E-01,  2.11089330E+01
 8.71093752E-01,  2.11173700E+01
 8.75000000E-01,  2.11255680E+01
 8.78906248E-01,  2.11337280E+01
 8.82812497E-01,  2.11419030E+01
 8.86718745E-01,  2.11499310E+01
 8.90624994E-01,  2.11576280E+01
 8.94531242E-01,  2.11649010E+01
 8.98437507E-01,  2.11718520E+01
 9.02343756E-01,  2.11786050E+01
 9.06250004E-01,  2.11852360E+01
 9.10156253E-01,  2.11916660E+01
 9.14062501E-01,  2.11977890E+01
 9.17968749E-01,  2.12035290E+01
 9.21874998E-01,  2.12089450E+01
 9.25781246E-01,  2.12141320E+01
 9.29687495E-01,  2.12191730E+01
 9.33593743E-01,  2.12240380E+01
 9.37500009E-01,  2.12286530E+01
 9.41406257E-01,  2.12329510E+01
 9.45312505E-01,  2.12369060E+01
 9.49218754E-01,  2.12405190E+01
 9.53125002E-01,  2.12437950E+01
 9.57031251E-01,  2.12467680E+01
 9.60937499E-01,  2.12495020E+01
 9.64843747E-01,  2.12520600E+01
 9.68749996E-01,  2.12544510E+01
 9.72656244E-01,  2.12566180E+01
 9.76562493E-01,  2.12584990E+01
 9.80468758E-01,  2.12600500E+01
 9.84375006E-01,  2.12612530E+01
 9.88281255E-01,  2.12620950E+01
 9.92187503E-01,  2.12625950E+01
 9.96093752E-01,  2.12628570E+01
 1.00000000E+00,  2.12630000E+01
